radionuclide,best_key_nuclide_sf,p25_Bi-207,p50_Bi-207,p75_Bi-207,corr_Bi-207,p25_Co-60,p50_Co-60,p75_Co-60,corr_Co-60,linreg_intercept_sf,linreg_coef_Bi-207,linreg_coef_Co-60,linreg_adj_R2_sf,logreg_const_sf,logreg_power_Bi-207,logreg_power_Co-60,logreg_adj_R2_sf,p25_DR_10cm,p50_DR_10cm,p75_DR_10cm,corr_DR_10cm,p25_DR_40cm,p50_DR_40cm,p75_DR_40cm,corr_DR_40cm,p25_bgo_10cm,p50_bgo_10cm,p75_bgo_10cm,corr_bgo_10cm,p25_bgo_40cm,p50_bgo_40cm,p75_bgo_40cm,corr_bgo_40cm,logreg_const_DR_10cm,logreg_power_DR_10cm,logreg_const_DR_40cm,logreg_power_DR_40cm,logreg_adj_R2_DR,logreg_const_bgo_10cm,logreg_power_bgo_10cm,logreg_const_bgo_40cm,logreg_power_bgo_40cm,logreg_adj_R2_bgo
Cs-134,Co-60,0.011353790564162717,0.0172915924836825,0.025976853537111783,0.5238326145326838,2.4248241279360206e-05,4.199066256164267e-05,6.830788860049753e-05,0.7117829632542332,-0.0006301458691975262,-0.00022464551747654186,0.00011945136278477606,0.5456291670576051,0.0007979782260586998,0.3802728344965205,0.37013257757666357,0.6012141271511948,4.251684600625658e-05,6.377603743106113e-05,9.344239724360862e-05,0.9200268568488993,0.00011837879978799185,0.0001776513407751169,0.00025978835752989984,0.9192282502150715,1.5041470651862732e-07,2.656871447439621e-07,4.192887721088794e-07,0.9657861826434735,4.17916977805048e-07,7.393042941872772e-07,1.1661203078321303e-06,0.9652463240373756,7.850265763300743e-05,0.8790359203988667,0.00019300913762210925,0.8789406722648179,0.6115592639085679,2.2828187158601673e-06,0.7191630168856965,4.774079619008834e-06,0.7188950841576933,0.4680622055280306
Cs-137,Co-60,0.0,1.1554872799171985e-06,0.00023989930115502503,0.8982913598604435,0.0,3.923051849607826e-09,5.022610715290331e-07,0.949145081445578,-0.001277693352195171,6.383778079766531e-05,3.0335136256465366e-05,0.9216004619061546,5.484581736692191e-06,0.6994806554005317,0.016409909128552384,0.08531812982882447,0.0,6.401955902644448e-09,7.70556852728052e-07,0.8226918201559758,0.0,1.7808410273764415e-08,2.1451412624462635e-06,0.8238381102954058,0.0,2.3786011494570455e-11,2.92363432053552e-09,0.6801181598403419,0.0,6.626372996027448e-11,8.144873845306592e-09,0.6816388323838758,8.973579773227226e-08,0.824317677688285,2.0832123376151158e-07,0.8250825408820053,0.04470019941183023,4.139160402210429e-09,0.6456742519229899,7.985849784846848e-09,0.6461636163689303,0.03007168783843739
Eu-150,Co-60,0.00042929064429396164,0.002253910217749117,0.007188062726095444,0.8974376909483549,8.428097052548558e-07,5.116650558333273e-06,1.8683826306918994e-05,0.9505880181285815,-0.002956865598282163,0.00016325748160994974,8.102971447875135e-05,0.9231169190589815,5.8849562747482225e-05,0.446895935608978,0.4891308938424119,0.17546599563776089,1.2893452762565252e-06,7.917460251489404e-06,2.962923497670642e-05,0.8240099062574278,3.5823561969794205e-06,2.201277597995572e-05,8.244027394996549e-05,0.8251541727460461,4.971870219459701e-09,3.00359181027685e-08,1.2015105273316967e-07,0.6816150925488803,1.3822067236025006e-08,8.347327378389536e-08,3.3414953739902555e-07,0.683131356199506,5.330262513983827e-06,0.9772046196778141,1.4479029552767243e-05,0.9775655326401936,0.1466639658680957,1.4386954957335317e-07,0.7605608531869991,3.1308029578555636e-07,0.7606548353704806,0.10093389274164133
Eu-152,Bi-207,1.7083789656566635,9.367733428366446,25.471394730915353,0.13786451278271877,0.004925059242115024,0.020566130117349396,0.05236158160748302,0.13584962022703087,0.818959771500273,0.0020397075167230302,0.00033215945943071954,0.019464517290658012,0.12227157269301125,0.027424315969528365,0.242038392828609,0.017357743458387698,0.0071725652653712915,0.03218869287572004,0.08323068458771048,0.11401513445146164,0.019915388831405794,0.08945450843583767,0.2309688706095567,0.11418543866954808,2.7399685531076024e-05,0.00012833893175414606,0.00033519423103439054,0.09590614965475676,7.628453778433867e-05,0.0003574843321541189,0.0009347982891230293,0.09613692610040052,0.11446154917413472,0.27429247219264735,0.151555291306769,0.2742623080907695,0.01994807044912783,0.02644859122454671,0.268299983578803,0.03481751526312177,0.2682460560357374,0.021854240325393626
Eu-154,Co-60,0.6857501399975995,3.4072675149274896,11.570236776699641,0.15740076980048143,0.0019267543357267105,0.007793218751898652,0.021775678953722885,0.1902364473331918,0.36302619911062634,-0.0004743490549921897,0.0005968363602920858,0.03594143644971426,0.050101950768501054,0.07015811333957965,0.2642286884706836,0.026740663037401302,0.002863765182252078,0.011907116341602023,0.03441979825677867,0.17795015859088076,0.007951180930700413,0.03309928203768223,0.09557522443680033,0.17809758474564655,1.024113747189713e-05,4.707444272701877e-05,0.00014205201516778666,0.15882074580497793,2.8445164080124416e-05,0.00013109337910793237,0.00039488147269679005,0.15903357077352376,0.0351223068982553,0.36127734654216226,0.050837497054263686,0.36119860517666447,0.03176995933271676,0.005600510920604033,0.3420010381863518,0.007953505493813618,0.34188810657043645,0.0325664611607519
Fe-55,Co-60,1590.1755469082416,2429.305907214294,3330.4081521603266,0.9051280086282621,3.479583941653922,5.571533629334558,8.068787081060846,0.9345938574021133,-14.470720026151412,27.01368741433177,8.80826044367439,0.9072779709657797,199.10967026603365,0.5121477789738121,0.3004632052515246,0.8826449491904239,6.311974332429136,8.669336959264957,10.55568743545852,0.9642258238189887,17.55628681861857,24.10760492811432,29.36803618431014,0.9644925438245396,0.022532486389540467,0.03373285050909737,0.04997347294370411,0.895994537875699,0.0626636080800818,0.09390027961574976,0.13910018953058384,0.8966358089799101,8.367434278793183,0.9726765202274597,22.639433570037383,0.972625112691115,0.8109153901104129,0.17451266892884057,0.7903669282805986,0.3925001565546052,0.7901139482647734,0.6122549760152809
Gd-148,Co-60,0.11885815035789331,0.14240651898616896,0.22734476416460453,0.027910122307194807,0.00014619261296838787,0.0002702478300080165,0.0006329818843085736,0.2704093874817908,0.03522634856540448,-0.01091204090953574,0.002611068048161307,0.2532909716801872,0.015205553633906976,0.5906138185713921,0.33737776157556615,0.5731882924494208,0.0002545309648302558,0.00043524321191017927,0.0008387767204489612,0.5235622331780262,0.0007070357841191713,0.0012107686463186855,0.00233732722391069,0.5221694982862333,8.59436466280222e-07,1.6991773156415488e-06,3.876763790282429e-06,0.6457858668174615,2.3870542006680315e-06,4.722305355684345e-06,1.0779135813582072e-05,0.6444962816577569,0.0004247419887637807,1.0826709740698783,0.0012859045490341988,1.0827136543182996,0.49668496668078055,1.0549789148760717e-05,0.8053136358109251,2.4092085468514247e-05,0.8050684034934225,0.3141657256568495
Gd-153,Co-60,0.04617976023709551,0.10661604494601831,0.24168497304861172,0.0038645226091168243,7.87246733054541e-05,0.0002121165625388781,0.0004825867460059551,0.18575987201782243,0.028670900644643685,-0.03059678184848565,0.007134857876080782,0.13848725480396018,0.00124437068844556,0.2453692929449978,0.6241787182320842,0.27738053791216033,0.00014769846464666767,0.0003511579748158152,0.0006697028270290961,0.5322526248921406,0.0004102240823197348,0.0009766984758014794,0.0018642579013957458,0.5304607787869356,5.960952712370838e-07,1.2642590129743542e-06,2.8483231493710363e-06,0.6899457635681413,1.6577369502152548e-06,3.515048362147013e-06,7.928197893855402e-06,0.688198765629911,0.00022583591574928624,1.0892156984801138,0.0006892228439437,1.0884721277747897,0.41056774461871215,1.0547326930863158e-06,1.010585916774799,2.983444084049039e-06,1.0097888731424391,0.40418904825172886
Ge-68,Co-60,0.010617979801707974,0.026560678846994958,0.057663156662594584,0.0015256458633978376,1.9593877475620688e-05,4.9612092399912325e-05,0.00012415120214753723,0.2321483114725628,0.0021482693643322007,-0.003480784062147738,0.0008084295057652502,0.22211579997785003,0.0002965933604257958,0.2297486047782754,0.600972644246922,0.25819891912332027,3.652079744665237e-05,8.021572075454106e-05,0.00016964892861143297,0.5452738309243824,0.00010144290127861102,0.00022305098090475187,0.0004721216499407601,0.5435838928274613,1.3612569366896813e-07,3.3580212576870284e-07,6.432815754473277e-07,0.6990526036388609,3.7892700673202674e-07,9.351469787829974e-07,1.7933312371634943e-06,0.6974592944726737,6.009942919312584e-05,1.0390023557547494,0.0001742314873333393,1.0382570920577188,0.3821535942778408,3.0174842496717855e-07,0.9854604726962815,8.317347916772978e-07,0.9846863611937635,0.39161638446185076
H-3,Co-60,688.9873510090094,819.1464235785774,996.3731621018815,0.7580028624354831,1.0562373076950642,1.7180813380085156,3.104025289797667,0.9378191520504727,-144.01809038889076,-11.265708826495352,10.523515758162509,0.8944330517290925,100.07425944779722,0.6235156089723521,0.30296791514559024,0.8140763507349005,1.751946656446728,2.6310777839137205,4.21939244306621,0.9760570298937729,4.877734041194891,7.30967604487676,11.748993634005648,0.976212024458694,0.005946637659091853,0.010156543759348931,0.019808952112533695,0.9292003141892518,0.016519400340729188,0.02827306220401686,0.05511844266556594,0.9297318394382151,2.250944990071446,1.0880329566045857,6.851989804880273,1.0880954097503441,0.6842399631852023,0.04808340915115958,0.8254055638526756,0.11206501512744643,0.8251872484886157,0.4502468195098098
Hf-172,Co-60,1.4326492293366884,2.2344040288258773,3.512045955982824,0.3764311526458221,0.0025310098271430575,0.004434299695940342,0.009737715432361717,0.6051827224131698,-0.34354814787845933,-0.13451499395849753,0.04974995473826339,0.461652803208326,0.04094444892459929,0.39782634847455434,0.6893254540859972,0.6548317750751138,0.004368684609197996,0.007177659222387616,0.012865796126296136,0.8452645267383015,0.012136668183690276,0.019954567520990514,0.03589194524787223,0.8441739600224574,1.5429152206338158e-05,2.5943184710308418e-05,5.287418293600128e-05,0.9273752312563522,4.285496029289123e-05,7.227095215308626e-05,0.00014741930717198238,0.9265234257074827,0.004189359477385876,1.213890265363695,0.014507066572218981,1.2138816149632556,0.7073365829749676,2.3806476971961702e-05,1.0277551105719704,6.825803332713915e-05,1.0275162659444521,0.5798207490362159
Hf-178n,Co-60,0.008638915113514207,0.01196993261138725,0.017582639996757906,0.8983370665981135,1.9821661305519495e-05,2.8917342666141286e-05,4.000531278307751e-05,0.9512481412959712,-0.009605344386826534,0.0005012637195459086,0.00024743763350550677,0.9245585838590674,0.00010447092443225412,0.18469790209911247,0.7383399017579316,0.6696320644447377,3.1750943216369666e-05,4.464830761868076e-05,6.377270610468876e-05,0.824104948601146,8.837972937607657e-05,0.00012411920176108316,0.00017745379540877248,0.8252528204624117,1.0566024470164087e-07,1.6558774287944827e-07,2.739261019337267e-07,0.6822129374202275,2.942124524614585e-07,4.6037384039161853e-07,7.620947057687549e-07,0.683737584703696,5.9974488823420664e-05,0.8599047513399045,0.00014441432193999898,0.8605595732871753,0.5892998280750228,1.6178275787426377e-06,0.721999229864646,3.3768128098241273e-06,0.7224037181210563,0.47505536977053864
