identifier,counting,library_id,counting_time_s,characterization,volume_m3,mass_t,density_g_cm3,filling,total_activity_Bq_g,true_total_activity_Bq_g,LL,true_LL,IRAS,true_IRAS,bgo_10cm_c_s,true_bgo_10cm_c_s,bgo_40cm_c_s,true_bgo_40cm_c_s,DR_10cm_uSv_h,true_DR_10cm_uSv_h,DR_40cm_uSv_h,true_DR_40cm_uSv_h,Be-7,Ag-108m,Ag-110m,Al-26,Au-194,Ba-133,Ba-137m,Bi-207,Co-57,Co-58,Co-60,Cr-51,Cs-134,Eu-150,Ga-68,Hf-172,K-42,Lu-172,Lu-173,Mn-54,Na-22,Pm-143,Pm-144,Pm-146,Rh-101,Rh-102,Rh-102m,Rh-106,Sb-124,Sb-125,Sc-44,Ti-44,Tl-202,Zn-65
273,4,sherpa_2025_a,900.0,hot,1.0,2.0,2.0,0.7580389874189695,139.00561349572484,324.8802849910965,1054.921527465339,670.5204362747664,10.498652700988531,6.620594051847406,9358.501674561332,5641.438047223175,3355.160297740103,2022.538395185026,26.38009471507027,15.902296669934,9.457651397254898,5.701206911666033,0.0,0.0,0.0187462404579157,0.0,0.0,0.0374170509043261,0.0,0.0839722560470383,31.30835418031916,5.547598583039364,31.18954722291369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3266323783476959,61.865618729793226,7.228446612011972,0.0545934685059821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5199812527878225,0.0,0.8247055205966667
274,4,sherpa_2025_a,900.0,hot,1.0,2.0,2.0,0.752970815371126,769.5026866927029,2176.671188642308,5549.785192940032,3645.023377460677,55.802563722330184,36.63181526884872,41618.47312485678,25898.83127639369,14886.19631152616,9263.556725468334,124.20282311286032,77.29038857820453,44.42516672240748,27.645413466216667,0.0,0.0,0.0506438856723239,0.0,0.0,0.7141113460288828,0.0,0.3249408349656534,201.83557004745327,25.660286327286425,88.2242864880315,0.0,0.0,0.0,0.0,4.716793084511366,0.0,0.0,4.460154048052345,375.024108131578,61.36754591171537,0.9927339884167048,0.0,0.0,0.1673460623995227,0.1209840641546264,0.0556231319846001,0.0,0.0,0.0,0.0,3.425303504417088,0.0,2.362255836035336
275,4,sherpa_2025_a,900.0,hot,1.0,2.0,2.0,0.7206699658546848,125.17319072085489,456.1435729608335,1167.8387855180322,932.7514940848054,11.67467280447406,9.5634397324267,8072.053398203193,5621.436343295252,2898.9047804474394,2018.8182466913572,34.393245662124826,23.951704924547062,12.351596222992065,8.601740905367603,0.0,0.0,0.0164483119258996,0.0,0.0,0.0,0.0,0.1520250825171072,8.816041068794519,0.3715050706259393,45.28987380508442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1339118261925156,57.435333531369686,10.344174297975052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6894649689374607,0.0,1.924412757432273
276,3,sherpa_2025_a,900.0,hot,1.0,2.0,2.0,0.7261988285796547,47.327356212193116,142.49007751072116,438.04287511277784,290.12390137451064,4.3799959929779675,2.9806498824947854,2536.63045834393,1635.3665557500565,910.571863371085,587.0460031203249,11.292910174678733,7.280543193042079,4.053805404257774,2.6134897812313254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0248173645371945,3.871244963813574,0.0432758149812416,13.722107133236197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.379574703098942,5.205596223401004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1175827141563205,0.0,0.963157294968649
277,4,sherpa_2025_a,900.0,hot,1.0,2.0,2.0,0.7605426600990578,11.9320245537053,35.989053057233335,118.84036796151759,69.85224483753488,1.188403679615176,0.7241204536705581,767.6951046335239,448.3625920115198,276.789271966062,161.6552647928215,4.647104641872232,2.714082543971995,1.6754942200497045,0.978551155097468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0533197306150444,0.0,10.540808327345834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3225535041385729,0.6851602786703348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087424745176466,0.0,0.2207579677590478
278,6,sherpa_2025_a,900.0,hot,1.0,2.0,2.0,0.7644299896638882,164.4450740454224,519.8080208168784,1415.0793162809039,983.5544401023516,14.102145549116933,9.95015037885214,7210.396561062828,4778.097023440184,2584.665061229956,1712.7740937777642,31.963942014423303,21.181472461761267,11.457911287431656,7.59278790752793,0.0,0.0,0.0268867806386668,0.0,0.0,0.0,0.0,0.1282069329161716,20.373281092626257,4.864761369211142,30.976534243100065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2476713351981025,92.31099973886104,9.098614722034483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4094446495111229,0.0,6.008673181325301
279,1,sherpa_2025_a,900.0,hot,1.0,2.0,2.0,0.671362541209199,61.41330597644145,182.0051220192852,512.8582652973153,410.2889286691756,5.115089858398947,4.1150561705930215,4072.688888716966,3099.941069194376,1462.43279435881,1113.135720415354,13.670858052536076,10.405620337362413,4.908970876327199,3.736479962700958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0297515844365361,9.903475483368029,1.3492794574207667,19.81703510053235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.88766694820305,2.1693172524260182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1584366752024269,0.0,0.0983434748522651
280,3,sherpa_2025_a,900.0,hot,1.0,2.0,2.0,0.7088680909646277,106.14171728359142,1529.670564097257,1014.2781672663644,819.7522403632914,10.275657854827108,9.5598361075324,2682.343778555979,2078.191689300339,965.5012937948068,748.0386298035506,36.25460854769069,28.08887763939368,13.049733497495136,10.110504074417486,0.0,0.0,0.0,0.0,0.0,1.351111794050543,0.0,1.066595510030401,2.8853337974592748,0.1064343803540399,68.94681632817472,0.0,0.0,0.0,0.0,1.3529346057273268,0.0,0.0,0.5598340052048725,10.28796646003673,15.222024138492356,0.0,0.0,0.0,0.1978370361872689,0.1248188504126674,0.0,0.0,0.0,0.0,0.0,3.8046535208568297,0.0,0.2353568566043923
281,1,sherpa_2025_a,900.0,hot,1.0,2.0,2.0,0.721884791804818,37.17622908479151,77.62612346515621,365.8747813122932,246.2992094659569,3.6585339027544235,2.4871584988591384,4131.989179111083,2521.4708991590787,1489.25825033047,908.79263637101,14.592385782814818,8.904736800057588,5.259411382034935,3.209459698865923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0424780898263334,0.6327766893293392,0.0213910368508733,32.22581959328873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.482261578248671,0.5639036334642492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1242900933715768,0.0,0.0833083704117447
282,5,sherpa_2025_a,900.0,hot,1.0,2.0,2.0,0.6948451860302676,77.08079397712453,267.8877918357102,701.421909223034,638.0156406664169,6.99928621682684,6.309845667844758,3180.837953069195,2740.4024465035704,1138.9958039984006,981.284470912064,13.912536421279396,11.986133656748,4.981806945406325,4.291999826029173,0.0,0.0,0.0202146231161918,0.0,0.0,0.0,0.0,0.0327678164159364,6.216271409450981,1.4932875403502524,9.592499808276768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.18095435256451,3.3078914131293016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1526206969516581,0.0,0.0842863168689301
